t,x,y,vx,vy,theta,thr,wind_vx,wind_vy,r
99,431.8188676201301,2408.0855119917514,36.79811814229961,-2.9644892570657455,0.0,1.0,0.0,0.0,-0.02299393528395921
100,435.4946810717369,2407.788823213459,36.71815088983649,-2.969286308775195,0.0,0.0,0.0,0.0,-0.01691412612775056
101,439.1647894847385,2407.431380980532,36.68401737019518,-4.179558349764727,-0.1745,0.5,0.0,0.0,-0.6381937208989665
102,442.8331902261658,2407.0246693559075,36.68399745835124,-3.9546741427276144,0.0,1.0,0.0,0.0,-0.5171500298579645
103,446.4703053254652,2406.6950630404835,36.05830452763633,-2.6374521657513874,0.1745,0.5,0.0,0.0,-0.17032790944951914
104,450.07498761764765,2406.4266281150135,36.03534131601357,-2.7312463436516694,0.0,0.5,0.0,0.0,-0.11764880732971966
105,453.6798112983092,2406.14965080536,36.0611322972164,-2.8082998494163767,0.0,1.0,0.0,0.0,-0.0762543494443968
106,457.28215511969466,2405.865736886714,35.98574413049308,-2.869978523511543,0.0,0.0,0.0,0.0,-0.0389507449141388
107,460.88192699865346,2405.5760955668443,36.00969344868263,-2.922847873877465,0.0,1.0,0.0,0.0,-0.010832736167333823
108,464.48405140311843,2405.281706879132,36.03279464061669,-2.9649258803727587,0.0,1.0,0.0,0.0,-0.011333866391797787
109,468.08595123785364,2404.9835480223533,36.00520205408705,-2.998251255199915,0.0,0.5,0.0,0.0,-0.03097447892059013
110,471.6875712273664,2404.6823181160985,36.02719773616853,-3.026346869895103,0.0,1.0,0.0,0.0,-0.045457956001069
111,475.26313192538476,2404.4335041528493,35.484016224199145,-1.9499323950922605,0.1745,0.5,0.0,0.0,-0.5327269080051984
112,478.8109108320525,2404.226494449926,35.47156190915588,-2.1902616633684695,0.0,0.5,0.0,0.0,-0.39735329064070724
113,482.3598006349563,2403.997632619486,35.50623414892007,-2.3869749454308273,0.0,1.0,0.0,0.0,-0.2882497462218378
114,485.9095271194835,2403.7509634043317,35.48829554162474,-2.54640935765391,0.0,0.5,0.0,0.0,-0.19818281942257127
115,489.4548564877304,2403.4897868809508,35.41829182331291,-2.677121109963647,0.0,0.0,0.0,0.0,-0.12196922776671865
116,492.9956063195585,2403.2166197724664,35.396704813248746,-2.7862210597223713,0.0,0.5,0.0,0.0,-0.059784350036215794
117,496.507291936965,2402.9861367983185,34.83700753488098,-1.8234384232331808,0.1745,0.0,0.0,0.0,-0.5849804838273798
118,499.9905346651706,2402.789621820038,34.827847029232295,-2.1068611423721193,0.0,0.5,0.0,0.0,-0.4225264919506623
119,503.4751970201869,2402.5672968545873,34.865400071093475,-2.3396381666410333,0.0,1.0,0.0,0.0,-0.29087938210666575
120,506.9609643346878,2402.3238534745215,34.84994621892387,-2.529229434676175,0.0,0.5,0.0,0.0,-0.1820392009643565
121,510.4475644929576,2402.063138064366,34.88205694647262,-2.685078768432356,0.0,1.0,0.0,0.0,-0.09452345142767049
