t,x,y,vx,vy,theta
115,880.2980178340359,742.6047785727249,51.02217004346351,-2.395572008197128,-0.1745
116,885.3904734067498,742.4343054343327,50.8269414108136,-1.013890759644598,0.0
117,890.4651832313535,742.2635457563307,50.66725508125956,-2.40130280039675,-0.1745
118,895.5222228575687,742.0915019976097,50.47353744304543,-1.0395723740233707,0.0
119,900.5618369286738,741.9191562658175,50.318743979055164,-2.4073422618221016,-0.1745
120,905.5840986859654,741.7455374463773,50.126491166777626,-1.0650341269817,0.0
121,910.5892460159694,741.5716019408297,49.976455433302306,-2.413675983970324,-0.1745
122,915.5773499367173,741.3964040640794,49.78562298165615,-1.0902815510346637,0.0
123,920.5486418242796,741.2208754504854,49.64021476959047,-2.4202907208450037,-0.1745
124,925.5031905540517,741.0440949007652,49.45075982585235,-1.1153202735588472,0.0
125,930.4412212274535,740.8669701820099,49.30985364218359,-2.427174101546714,-0.1745
126,935.3628006538836,740.6886036842819,49.12173488641812,-1.1401558530141784,0.0
127,940.2681478855815,740.5098801683298,48.98520974754009,-2.4343144660277956,-0.1745
128,945.157327738969,740.329924760009,48.79838732020949,-1.1647937003870248,0.0
129,950.0305534325909,740.1496000367018,48.666126552227524,-2.4417007657565692,-0.1745
130,954.8878878595682,739.9680530461867,48.480561987319994,-1.189239044545507,0.0
131,959.729538610683,739.7861249690039,48.352453034976044,-2.4493224991091513,-0.1745
132,964.5555667223101,739.6029839980417,48.16810919756559,-1.2134969201342654,0.0
133,969.3661743543039,739.4194506687477,48.044043442310894,-2.45716966574562,-0.1745
134,974.1614207499135,739.2347135771149,47.86088446988269,-1.2375721669092348,0.0
135,978.9415028262616,739.0495733321848,47.74075705707988,-2.4652327316943605,-0.1745
136,983.7064780943247,738.8632382238634,47.558748304181904,-1.2614694347330953,0.0
137,988.4565384084916,738.6764896220891,47.44245797915714,-2.4735026007517384,-0.1745
138,993.1917396057027,738.4885548324905,47.2615659650639,-1.285193191219997,0.0
139,997.9122686498365,738.3001966434377,47.14901491761264,-2.4819705898356683,-0.1745
140,1002.618179759555,738.1106607274228,46.969207276758496,-1.3087477304643327,0.0
141,1007.3096551730762,737.9206919205495,46.86030099366491,-2.490628407000936,-0.1745
142,1011.9867475441918,737.7295536410971,46.68154642864766,-1.3321371820467105,0.0
143,1016.6496345433127,737.5379733754253,46.57619355377123,-2.4994681313910894,-0.1745
144,1021.298367310539,737.3452316928602,46.398461790754524,-1.3553655199090155,0.0
145,1025.933119099689,737.1520393071296,46.29657399224849,-2.508482194704884,-0.1745
146,1030.553939586232,736.9576933688494,46.11983573861088,-1.378436570900287,0.0
147,1035.1609977523053,736.7628883721084,46.021327582856806,-2.517663363919244,-0.1745
148,1039.7543418557957,736.5669375027671,45.84555448694974,-1.40135402290544,0.0
149,1044.334136746084,736.3705195653669,45.75034331881551,-2.5270047251007024,-0.1745
150,1048.9004293086098,736.1729632574855,45.57550793170394,-1.4241214325264182,0.0
151,1053.4533803932327,735.9749322024498,45.48351376075618,-2.5364996681878296,-0.1745
152,1057.9930355562617,735.7757701074247,45.30958949982536,-1.4467422323149954,0.0
153,1062.5195517758605,735.5761259021762,45.220734892150475,-2.546141872656321,-0.1745
154,1067.0329733207916,735.3753578216648,45.04769600647065,-1.4692197375711997,0.0
155,1071.5334534202043,735.1741005700865,44.961905981781044,-2.555925293996072,-0.1745
156,1076.0210350952498,734.9717264477503,44.78972751912952,-1.4915571527282443,0.0
157,1080.495867943849,734.7688563825668,44.70692945285246,-2.56584415094077,-0.1745
158,1084.9579937779065,734.5648762961524,44.53558722829903,-1.5137575773475644,0.0
159,1089.4075586772396,734.3603937716151,44.45571075836527,-2.575892913398162,-0.1745
160,1093.8446032813745,734.1548079253578,44.28518132433348,-1.5358240117481508,0.0
161,1098.2692702607112,733.9487134102186,44.20815826240108,-2.586066291034724,-0.1745
162,1102.6815991178373,733.7415221275522,44.03841888012319,-1.5577593622937904,0.0
163,1107.081729218193,733.533816198314,43.96418312698882,-2.596359222472735,-0.1745
164,1111.4696989615063,733.3250199148723,43.79521173927792,-1.579566446360809,0.0
165,1115.8456445086824,733.1157032493012,43.72369920424398,-2.6067668650613314,-0.1745
166,1120.2096031893702,732.9053025061977,43.55547440951122,-1.6012479970075713,0.0
167,1124.5617080565203,732.694375877088,43.486622933491546,-2.6172845851860917,-0.1745
168,1128.901995401242,732.4823713144604,43.31912396094131,-1.6228066673656496,0.0
169,1133.230595261444,732.2698355836378,43.252873243102066,-2.627907949084351,-0.1745
170,1137.5475429200512,732.056227934445,43.08607992904181,-1.6442450347712159,0.0
171,1141.8529654893428,731.8420840469996,43.022371456786736,-2.638632714135821,-0.1745
172,1146.1468972732816,731.6268741310602,42.85626422199228,-1.6655656046539224,0.0
173,1150.4294625445868,731.4111231097975,42.79504120411334,-2.649454820600212,-0.1745
174,1154.7006946564022,731.1943118280575,42.62960103219398,-1.6867708141993158,0.0
175,1158.9607151247628,730.9769547681587,42.57080833501934,-2.6603703837755104,-0.1745
176,1163.2095563791004,730.75854309718,42.4060167517305,-1.7078630357996811,0.0
177,1167.4473372585926,730.5395811610624,42.349600838112075,-2.6713756865523535,-0.1745
178,1171.6740892950766,730.3195701477194,42.18543989156627,-1.728844580307173,0.0
179,1175.8899287277827,730.099004560087,42.131348762558495,-2.6824671723416027,-0.1745
180,1180.0948862161251,729.8773953164648,41.96780100428857,-1.7497177001020945,0.0
181,1184.2890754735085,729.655227359542,41.91598414337907,-2.6936414383537195,-0.1745
182,1188.472526311188,729.4320210580249,41.75303261021008,-1.7704845919882843,0.0
183,1192.645349988197,729.208252066965,41.70344092997098,-2.7048952292099715,-0.1745
184,1196.8075754910285,728.9834499355081,41.54106912665981,-1.79114739992674,0.0
185,1200.9593116932463,728.7580812939684,41.49365491769638,-2.716225430866787,-0.1745
186,1205.1005867791462,728.5316846115442,41.3318468003006,-1.811708217617817,0.0
187,1209.2315073032803,728.3047177474215,41.28656368238089,-2.727629064835784,-0.1745
188,1213.3521006695153,728.0767278396326,41.1253036423204,-1.8321690909416455,0.0
189,1217.46247117751,727.8481642209513,41.08210651757649,-2.739103282683132,-0.1745
190,1221.5626454717064,727.6185824558038,40.921379366353804,-1.8525320202657292,0.0
191,1225.6527256587467,727.3884235867508,40.88022437445145,-2.7506453607929147,-0.1745
192,1229.732737643919,727.1572513705797,40.72001532899819,-1.8727989626280888,0.0
193,1233.802781400578,726.9254987876793,40.680859804177466,-2.762252695380163,-0.1745
194,1237.8628821144266,726.6927375612202,40.52115447279664,-1.8929718338037458,0.0
195,1241.913137683201,726.459392829643,40.48395690269194,-2.773922797740091,-0.1745
196,1245.953572591914,726.2250440642429,40.324741271567156,-1.9130525102618021,0.0
197,1249.9842827183784,725.9901087742437,40.28946125771975,-2.785653289720922,-0.1745
198,1254.0052918651627,725.7541739682067,40.130721677964175,-1.9330428310199135,0.0
199,1258.0166939439582,725.5176497316853,40.09731989794561,-2.7974418994084562,-0.1745
200,1262.0185120925137,725.2801304067448,39.93904307316493,-1.9529445994024806,0.0
201,1266.0108383083837,725.0420188539241,39.90748124423395,-2.809286457011271,-0.1745
202,1269.9936950815243,724.8029165518382,39.749654218579074,-1.9727595847084687,0.0
203,1273.9671725455933,724.563219328056,39.719895062798976,-2.8211848909360877,-0.1745
204,1277.9312925592076,724.3225356073194,39.5625052094854,-1.992489523794394,0.0
205,1281.8861434406936,724.0812543699275,39.53451242023284,-2.833135224043502,-0.1745
206,1285.8317464332304,723.8389908025964,39.377547430504976,-2.012136122577632,0.0
