t,reward,x,y,theta,vx,vy,throttle,wind_vx,wind_vy
6.499999999999993,-2.5300832975173826,346.3238246509377,273.787891766536,-0.1745,49.66593900961665,-10.249055390273107,0.165,-0.46219102527337386,-0.7123328086010885
6.5999999999999925,-2.5280132592432003,351.2948002737443,272.7628270650457,-0.1745,49.75357344651435,-10.25223863953332,0.165,-0.46219102527337386,-0.7123328086010885
6.699999999999992,-2.526013572672726,356.2745284848014,271.7374397255716,-0.1745,49.840990774628295,-10.255508149948199,0.165,-0.46219102527337386,-0.7123328086010885
6.799999999999992,-2.524078379535494,361.2629876825558,270.71172207704393,-0.1745,49.928193180459076,-10.258844820605391,0.165,-0.46219102527337386,-0.7123328086010885
6.8999999999999915,-2.522203277490857,366.2601564523346,269.68566811535663,-0.1745,50.01518221511815,-10.262234413140545,0.165,-0.46219102527337386,-0.7123328086010885
6.999999999999991,-2.520384944560678,371.26601351104574,268.6592730795267,-0.1745,50.10195895910386,-10.265666303458115,0.165,-0.46219102527337386,-0.7123328086010885
7.099999999999991,-2.5186208602021267,376.2805376662567,267.63253313673135,-0.1745,50.18852414511492,-10.269132552448568,0.165,-0.46219102527337386,-0.7123328086010885
7.19999999999999,-2.516909098275757,381.30370778598865,266.605445148379,-0.1745,50.2748782495242,-10.27262721459944,0.165,-0.46219102527337386,-0.7123328086010885
7.29999999999999,-2.515248173467678,386.33550277648794,265.5780064964535,-0.1745,50.361021560462,-10.276145823909935,0.165,-0.46219102527337386,-0.7123328086010885
7.39999999999999,-2.513636927430856,391.3759015659337,264.55021495466445,-0.1745,50.44695422845339,-10.27968501187049,0.165,-0.46219102527337386,-0.7123328086010885
7.499999999999989,-2.5120744444219385,396.42488309255896,263.5220685928834,-0.1745,50.53267630405182,-10.283242223751337,0.165,-0.46219102527337386,-0.7123328086010885
7.599999999999989,-2.510559988828334,401.48242629605085,262.4935657062944,-0.1745,50.6181877657863,-10.286815508027614,0.165,-0.46219102527337386,-0.7123328086010885
7.699999999999989,-2.5090929589315056,406.54851011138504,261.46470476288397,-0.1745,50.70348854089799,-10.290403360180862,0.165,-0.46219102527337386,-0.7123328086010885
7.799999999999988,-2.507672852705547,411.6231134644656,260.4354843645297,-0.1745,50.78857852071235,-10.294004606904346,0.165,-0.46219102527337386,-0.7123328086010885
7.899999999999988,-2.506299242531732,416.70621526910236,259.40590321816893,-0.1745,50.87345757202313,-10.297618320311672,0.165,-0.46219102527337386,-0.7123328086010885
7.999999999999988,-2.504971756514256,421.79779442497914,258.37596011443276,-0.1745,50.958125545513134,-10.301243754411905,0.165,-0.46219102527337386,-0.7123328086010885
8.099999999999987,-2.5036900646803972,426.8978298163535,257.3456539118072,-0.1745,51.04258228197467,-10.304880298099395,0.165,-0.46219102527337386,-0.7123328086010885
8.199999999999987,-2.5024538687927205,432.00630031129714,256.31498352488296,-0.1745,51.126827616897295,-10.308527440384845,0.165,-0.46219102527337386,-0.7123328086010885
8.299999999999986,-2.5012628948307682,437.12318476133424,255.283947915629,-0.1745,51.21086138384478,-10.312184744694505,0.165,-0.46219102527337386,-0.7123328086010885
8.399999999999986,-2.5001168874445168,442.24846200137324,254.25254608690014,-0.1745,51.294683416934745,-10.315851829882826,0.165,-0.46219102527337386,-0.7123328086010885
8.499999999999986,-2.4990156058633843,447.38211084985267,253.2207770775954,-0.1745,51.37829355265373,-10.319528356212306,0.165,-0.46219102527337386,-0.7123328086010885
8.599999999999985,-2.4979588208790866,452.5241101090444,252.18863995903445,-0.1745,51.46169163118045,-10.323214015006322,0.165,-0.46219102527337386,-0.7123328086010885
8.699999999999985,-2.496946312620309,457.67443856547067,251.1561338322333,-0.1745,51.54487749734524,-10.326908521016238,0.165,-0.46219102527337386,-0.7123328086010885
8.799999999999985,-2.4959778689108965,462.833074990404,250.12325782584284,-0.1745,51.627851001320664,-10.33061160679318,0.165,-0.46219102527337386,-0.7123328086010885
8.899999999999984,-2.4413480045554468,467.9999981404257,249.0900110945762,-0.1745,51.71061199911356,-10.334323018539457,0.165,-0.512183414023278,-0.19083706082730487
8.999999999999984,-2.401419693705412,473.1761176811583,248.0634311617647,-0.1745,51.81177881553865,-10.1972756376907,0.165,-0.512183414023278,-0.19083706082730487
9.099999999999984,-2.3722035649402735,478.3620903419694,247.04864072790883,-0.1745,51.90767440068366,-10.098533039426576,0.165,-0.512183414023278,-0.19083706082730487
9.199999999999983,-2.3507936938263936,483.5574556461594,246.04232928117568,-0.1745,51.99963168311535,-10.0276958952362,0.165,-0.512183414023278,-0.19083706082730487
